sku,name,vendor,price,url,description,tags
C321,Synco Xtalk Master- Hệ Thống Intercom Không Dây Thế Hệ Mới,Synco,4000000,https://newlite.vn/products/synco-xtalk-master,"Các tính năng chính- Bộ thu/phát video không dây- Kết hợp tối đa 4 bộ thu, máy tính bảng và điện thoại- Truyền HDMI 1080p60 lên đến 1200'- Đầu ra USB/UVC để phát trực tuyến trên máy tính- Ứng dụng iOS/Android có hỗ trợ Zebra &amp; LUT- Tần số băng tần kép 2,4 &amp; 5 GHz- Màn hình OLED 1,3\",cineview he;truyền video không dây;accsoon cineview he
c311,Synco Xtalk XMax 1 Wireless Intercom Headset,Synco,2890000,https://newlite.vn/products/synco-xtalk-xmax1-wireless-intercom-headset,"Các tính năng chính- Bộ thu/phát video không dây- Kết hợp tối đa 4 bộ thu, máy tính bảng và điện thoại- Truyền HDMI 1080p60 lên đến 1200'- Đầu ra USB/UVC để phát trực tuyến trên máy tính- Ứng dụng iOS/Android có hỗ trợ Zebra &amp; LUT- Tần số băng tần kép 2,4 &amp; 5 GHz- Màn hình OLED 1,3\",cineview he;truyền video không dây;accsoon cineview he
C711,Màn Hình Selfie SYNCO XView M4,Synco,999000,https://newlite.vn/products/man-hinh-selfie-synco-xview-m4,<p style=\,Ba lô máy ảnh vỏ cứng Ulanzi BP10;BP10;Ulanzi BP10
C251,"SYNCO SMIC MINI - Micro Không Dây Cài Áo Chống Ồn Mini, Âm Thanh 48kHz/24-bit",Synco,999000,https://newlite.vn/products/synco-smic-mini-micro-khong-day-cai-ao-chong-on-mini-cho-dien-thoai-type-c-am-thanh-48khz-24-bit,"MÔ TẢ SẢN PHẨM:◾ Với bộ chuyển đổi BOYA EA2 , bạn có thể kết nối mic có đầu cắm 3,5 mm như mic lavalier, tai nghe, cầm tay hoặc shotgun trực tiếp vào cổng USB của máy tính để ghi âm, phát trực tiếp hoặc hội nghị.◾ Cổng kết nối này cũng có cổng tai nghe TRS 3,5 mm cho phép theo dõi thuận tiện thông qua tai nghe.◾ BY-EA2 sử dụng đầu vào Female Micro TRS 3,5 mm, đầu ra USB 2.0 Loại A và kết cấu bằng nhựa nhẹ.◾ Bộ chuyển đổi nhỏ gọn giúp tiết kiệm không gian và tránh bị rối cáp.ĐẶC TÍNH SẢN PHẨM:◾ K",Boya BY EA2;BY EA2
C381,SYNCO CE3 Wireless Tally Light System,Synco,1490000,https://newlite.vn/products/synco-ce3-wireless-tally-light-system,<ul style=\,Fog Machine Smoke Tank
C293,Synco XTalk Carrying Box,Synco,990000,https://newlite.vn/products/synco-xtalk-carrying-box,<ul style=\,Fog Machine Smoke Tank
C292,Synco X-talk 2-Slot Charging Station,Synco,320000,https://newlite.vn/products/synco-x-talk-2-slot-charging-station,<ul style=\,Fog Machine Smoke Tank
C291,Synco X-talk Rechargeable Lithium-Ion Battery,Synco,280000,https://newlite.vn/products/synco-x-talk-rechargeable-lithium-ion-battery,"Các tính năng chính- Bộ thu/phát video không dây- Kết hợp tối đa 4 bộ thu, máy tính bảng và điện thoại- Truyền HDMI 1080p60 lên đến 1200'- Đầu ra USB/UVC để phát trực tuyến trên máy tính- Ứng dụng iOS/Android có hỗ trợ Zebra &amp; LUT- Tần số băng tần kép 2,4 &amp; 5 GHz- Màn hình OLED 1,3\",cineview he;truyền video không dây;accsoon cineview he
C290,SYNCO XTALK LINK HUB,Synco,4990000,https://newlite.vn/products/synco-xtalk-link-hub,<ul style=\,Fog Machine Smoke Tank
C281,SYNCO XTALK XPRO Wireless Intercom,Synco,2490000,https://newlite.vn/products/synco-xtalk-xpro-wireless-intercom,"Các tính năng chính- Bộ thu/phát video không dây- Kết hợp tối đa 4 bộ thu, máy tính bảng và điện thoại- Truyền HDMI 1080p60 lên đến 1200'- Đầu ra USB/UVC để phát trực tuyến trên máy tính- Ứng dụng iOS/Android có hỗ trợ Zebra &amp; LUT- Tần số băng tần kép 2,4 &amp; 5 GHz- Màn hình OLED 1,3\",cineview he;truyền video không dây;accsoon cineview he
C272,SYNCO XTALK Wireless Intercom Headset 2.4GHz,Synco,3990000,https://newlite.vn/products/synco-xtalk-wireless-intercom-headset-2-4ghz,"Các tính năng chính- Bộ thu/phát video không dây- Kết hợp tối đa 4 bộ thu, máy tính bảng và điện thoại- Truyền HDMI 1080p60 lên đến 1200'- Đầu ra USB/UVC để phát trực tuyến trên máy tính- Ứng dụng iOS/Android có hỗ trợ Zebra &amp; LUT- Tần số băng tần kép 2,4 &amp; 5 GHz- Màn hình OLED 1,3\",cineview he;truyền video không dây;accsoon cineview he
C244,Synco P2SL / Micro Thu Âm Không Dây 2 Người Dùng cho iPhone jack Lightning (Màu Xanh),Synco,1145000,https://newlite.vn/products/synco-p2sl-micro-thu-am-khong-day-2-nguoi-dung-cho-iphone-jack-lightning-mau-trang,"MÔ TẢ SẢN PHẨM:◾ Với bộ chuyển đổi BOYA EA2 , bạn có thể kết nối mic có đầu cắm 3,5 mm như mic lavalier, tai nghe, cầm tay hoặc shotgun trực tiếp vào cổng USB của máy tính để ghi âm, phát trực tiếp hoặc hội nghị.◾ Cổng kết nối này cũng có cổng tai nghe TRS 3,5 mm cho phép theo dõi thuận tiện thông qua tai nghe.◾ BY-EA2 sử dụng đầu vào Female Micro TRS 3,5 mm, đầu ra USB 2.0 Loại A và kết cấu bằng nhựa nhẹ.◾ Bộ chuyển đổi nhỏ gọn giúp tiết kiệm không gian và tránh bị rối cáp.ĐẶC TÍNH SẢN PHẨM:◾ K",Boya BY EA2;BY EA2
C243,Synco P2ST / Micro Thu Âm Không Dây 2 Người Dùng cho Android jack USB Type-C (Màu Xanh Đen),Synco,2290000,https://newlite.vn/products/synco-p2st-micro-thu-am-khong-day-2-nguoi-dung-cho-android-jack-usb-type-c-mau-xanh-den,"MÔ TẢ SẢN PHẨM:◾ Với bộ chuyển đổi BOYA EA2 , bạn có thể kết nối mic có đầu cắm 3,5 mm như mic lavalier, tai nghe, cầm tay hoặc shotgun trực tiếp vào cổng USB của máy tính để ghi âm, phát trực tiếp hoặc hội nghị.◾ Cổng kết nối này cũng có cổng tai nghe TRS 3,5 mm cho phép theo dõi thuận tiện thông qua tai nghe.◾ BY-EA2 sử dụng đầu vào Female Micro TRS 3,5 mm, đầu ra USB 2.0 Loại A và kết cấu bằng nhựa nhẹ.◾ Bộ chuyển đổi nhỏ gọn giúp tiết kiệm không gian và tránh bị rối cáp.ĐẶC TÍNH SẢN PHẨM:◾ K",Boya BY EA2;BY EA2
C242,Synco P1SL / Micro Thu Âm Không Dây 1 Người Dùng cho iPhone jack Lightning (Màu Trắng),Synco,795000,https://newlite.vn/products/synco-p1sl-micro-thu-am-khong-day-1-nguoi-dung-cho-iphone-jack-lightning-mau-trang,"MÔ TẢ SẢN PHẨM:◾ Với bộ chuyển đổi BOYA EA2 , bạn có thể kết nối mic có đầu cắm 3,5 mm như mic lavalier, tai nghe, cầm tay hoặc shotgun trực tiếp vào cổng USB của máy tính để ghi âm, phát trực tiếp hoặc hội nghị.◾ Cổng kết nối này cũng có cổng tai nghe TRS 3,5 mm cho phép theo dõi thuận tiện thông qua tai nghe.◾ BY-EA2 sử dụng đầu vào Female Micro TRS 3,5 mm, đầu ra USB 2.0 Loại A và kết cấu bằng nhựa nhẹ.◾ Bộ chuyển đổi nhỏ gọn giúp tiết kiệm không gian và tránh bị rối cáp.ĐẶC TÍNH SẢN PHẨM:◾ K",Boya BY EA2;BY EA2
C241,Synco P1ST / Micro Thu Âm Không Dây 1 Người Dùng cho Android jack USB Type-C (Màu Xanh Đen),Synco,795000,https://newlite.vn/products/synco-p1st-micro-thu-am-khong-day-1-nguoi-dung-cho-android-jack-usb-type-c-mau-xanh-den,"MÔ TẢ SẢN PHẨM:◾ Với bộ chuyển đổi BOYA EA2 , bạn có thể kết nối mic có đầu cắm 3,5 mm như mic lavalier, tai nghe, cầm tay hoặc shotgun trực tiếp vào cổng USB của máy tính để ghi âm, phát trực tiếp hoặc hội nghị.◾ Cổng kết nối này cũng có cổng tai nghe TRS 3,5 mm cho phép theo dõi thuận tiện thông qua tai nghe.◾ BY-EA2 sử dụng đầu vào Female Micro TRS 3,5 mm, đầu ra USB 2.0 Loại A và kết cấu bằng nhựa nhẹ.◾ Bộ chuyển đổi nhỏ gọn giúp tiết kiệm không gian và tránh bị rối cáp.ĐẶC TÍNH SẢN PHẨM:◾ K",Boya BY EA2;BY EA2
